Fecha,Dia,Sesion,Horario,Ponente,Tema,Nota / Jag
2025-08-04,Lunes,Mañana,11:30 – 12:30,,,
2025-08-06,Miércoles,Tarde,12:40 – 13:40,,,
2025-08-11,Lunes,Mañana,11:30 – 12:30,,,
2025-08-13,Miércoles,Tarde,12:40 – 13:40,,,
2025-08-18,Lunes,Mañana,11:30 – 12:30,,,
2025-08-20,Miércoles,Tarde,12:40 – 13:40,,,
2025-08-25,Lunes,Mañana,11:30 – 12:30,,,
2025-08-27,Miércoles,Tarde,12:40 – 13:40,,,
2025-09-01,Lunes,Mañana,11:30 – 12:30,,,
2025-09-03,Miércoles,Tarde,12:40 – 13:40,,,
2025-09-08,Lunes,Mañana,11:30 – 12:30,,,
2025-09-10,Miércoles,Tarde,12:40 – 13:40,,,
2025-09-15,Lunes,Mañana,11:30 – 12:30,,,
2025-09-17,Miércoles,Tarde,12:40 – 13:40,,,
2025-09-22,Lunes,Mañana,11:30 – 12:30,,,
2025-09-24,Miércoles,Tarde,12:40 – 13:40,,,
2025-09-29,Lunes,Mañana,11:30 – 12:30,,,
2025-10-01,Miércoles,Tarde,12:40 – 13:40,,,
2025-10-06,Lunes,Mañana,11:30 – 12:30,,,
2025-10-08,Miércoles,Tarde,12:40 – 13:40,,,
2025-10-13,Lunes,Mañana,11:30 – 12:30,,,
2025-10-15,Miércoles,Tarde,12:40 – 13:40,,,
2025-10-20,Lunes,Mañana,11:30 – 12:30,,,
2025-10-22,Miércoles,Tarde,12:40 – 13:40,,,
2025-10-27,Lunes,Mañana,11:30 – 12:30,,,
2025-10-29,Miércoles,Tarde,12:40 – 13:40,,,
2025-11-03,Lunes,Mañana,11:30 – 12:30,,,
2025-11-05,Miércoles,Tarde,12:40 – 13:40,,,
2025-11-10,Lunes,Mañana,11:30 – 12:30,,,
2025-11-12,Miércoles,Tarde,12:40 – 13:40,,,
2025-11-17,Lunes,Mañana,11:30 – 12:30,,,
2025-11-19,Miércoles,Tarde,12:40 – 13:40,,,
2025-11-24,Lunes,Mañana,11:30 – 12:30,,,
2025-11-26,Miércoles,Tarde,12:40 – 13:40,,,
2025-12-01,Lunes,Mañana,11:30 – 12:30,,,
2025-12-03,Miércoles,Tarde,12:40 – 13:40,,,
2025-12-08,Lunes,Mañana,11:30 – 12:30,,,
2025-12-10,Miércoles,Tarde,12:40 – 13:40,,,
2025-12-15,Lunes,Mañana,11:30 – 12:30,,,
2025-12-17,Miércoles,Tarde,12:40 – 13:40,,,
2025-12-22,Lunes,Mañana,11:30 – 12:30,,,
2025-12-24,Miércoles,Tarde,12:40 – 13:40,,,
2025-12-29,Lunes,Mañana,11:30 – 12:30,,,
2025-12-31,Miércoles,Tarde,12:40 – 13:40,,,
2026-01-05,Lunes,Mañana,11:30 – 12:30,,,
2026-01-07,Miércoles,Tarde,12:40 – 13:40,,,
2026-01-12,Lunes,Mañana,11:30 – 12:30,,,
2026-01-14,Miércoles,Tarde,12:40 – 13:40,,,
2026-01-19,Lunes,Mañana,11:30 – 12:30,,,
2026-01-21,Miércoles,Tarde,12:40 – 13:40,,,
2026-01-26,Lunes,Mañana,11:30 – 12:30,,,
2026-01-28,Miércoles,Tarde,12:40 – 13:40,,,
2026-02-02,Lunes,Mañana,11:30 – 12:30,,,
